,Run,Deletion,Rho0,Rho1,Rho2,Rho3
784,130,4,1,1,1,2
785,130,5,1,1,1,1
786,131,0,0,3,3,6
787,131,1,0,3,3,5
788,131,2,1,3,3,4
789,131,3,1,2,3,3
790,131,4,1,1,2,2
791,131,5,1,1,1,1
792,132,0,0,3,3,6
793,132,1,0,3,3,5
794,132,2,1,3,3,4
795,132,3,1,2,2,3
796,132,4,1,2,2,2
797,132,5,1,1,1,1
798,133,0,0,3,3,6
799,133,1,0,3,3,5
800,133,2,0,1,3,4
801,133,3,0,0,3,3
802,133,4,1,1,2,2
803,133,5,1,1,1,1
804,134,0,0,3,3,6
805,134,1,0,3,3,5
806,134,2,0,1,3,4
807,134,3,1,2,2,3
808,134,4,1,2,2,2
809,134,5,1,1,1,1
810,135,0,0,3,3,6
811,135,1,0,3,3,5
812,135,2,1,3,3,4
813,135,3,1,2,2,3
814,135,4,1,1,1,2
815,135,5,1,1,1,1
816,136,0,0,3,3,6
817,136,1,0,3,3,5
818,136,2,1,3,3,4
819,136,3,1,2,3,3
820,136,4,1,1,2,2
821,136,5,1,1,1,1
822,137,0,0,3,3,6
823,137,1,0,3,3,5
824,137,2,0,1,3,4
825,137,3,1,2,2,3
826,137,4,1,2,2,2
827,137,5,1,1,1,1
828,138,0,0,3,3,6
829,138,1,0,3,3,5
830,138,2,1,3,3,4
831,138,3,1,2,2,3
832,138,4,1,1,1,2
833,138,5,1,1,1,1
834,139,0,0,3,3,6
835,139,1,0,3,3,5
836,139,2,0,4,2,4
837,139,3,1,2,2,3
838,139,4,1,1,1,2
839,139,5,1,1,1,1
840,140,0,0,3,3,6
841,140,1,0,3,3,5
842,140,2,1,3,3,4
843,140,3,1,2,2,3
844,140,4,1,2,2,2
845,140,5,1,1,1,1
846,141,0,0,3,3,6
847,141,1,0,3,3,5
848,141,2,0,3,3,4
849,141,3,0,2,2,3
850,141,4,1,1,1,2
851,141,5,1,1,1,1
852,142,0,0,3,3,6
853,142,1,0,3,3,5
854,142,2,0,1,3,4
855,142,3,1,2,2,3
856,142,4,1,2,2,2
857,142,5,1,1,1,1
858,143,0,0,3,3,6
859,143,1,0,3,3,5
860,143,2,0,1,3,4
861,143,3,1,2,2,3
862,143,4,1,1,1,2
863,143,5,1,1,1,1
864,144,0,0,3,3,6
865,144,1,0,3,3,5
866,144,2,0,4,2,4
867,144,3,1,2,2,3
868,144,4,1,2,2,2
869,144,5,1,1,1,1
870,145,0,0,3,3,6
871,145,1,0,3,3,5
872,145,2,0,3,3,4
873,145,3,1,2,3,3
874,145,4,1,2,2,2
875,145,5,1,1,1,1
876,146,0,0,3,3,6
877,146,1,0,3,3,5
878,146,2,0,1,3,4
879,146,3,0,2,2,3
880,146,4,1,2,2,2
881,146,5,1,1,1,1
882,147,0,0,3,3,6
883,147,1,0,3,3,5
884,147,2,0,4,2,4
885,147,3,1,2,2,3
886,147,4,1,1,2,2
887,147,5,1,1,1,1
888,148,0,0,3,3,6
889,148,1,0,3,3,5
890,148,2,0,4,2,4
891,148,3,0,2,2,3
892,148,4,1,1,2,2
893,148,5,1,1,1,1
894,149,0,0,3,3,6
895,149,1,0,3,3,5
896,149,2,0,3,3,4
897,149,3,1,2,3,3
898,149,4,1,1,2,2
899,149,5,1,1,1,1
900,150,0,0,3,3,6
901,150,1,0,3,3,5
902,150,2,1,3,3,4
903,150,3,1,2,2,3
904,150,4,1,2,2,2
905,150,5,1,1,1,1
906,151,0,0,3,3,6
907,151,1,0,3,3,5
908,151,2,0,4,2,4
909,151,3,0,2,2,3
910,151,4,1,2,2,2
911,151,5,1,1,1,1
912,152,0,0,3,3,6
913,152,1,0,3,3,5
914,152,2,0,4,2,4
915,152,3,0,2,2,3
916,152,4,1,2,2,2
917,152,5,1,1,1,1
918,153,0,0,3,3,6
919,153,1,0,3,3,5
920,153,2,0,4,2,4
921,153,3,0,2,2,3
922,153,4,1,1,2,2
923,153,5,1,1,1,1
924,154,0,0,3,3,6
925,154,1,0,3,3,5
926,154,2,0,4,2,4
927,154,3,0,2,2,3
928,154,4,1,2,2,2
929,154,5,1,1,1,1
930,155,0,0,3,3,6
931,155,1,0,3,3,5
932,155,2,0,1,3,4
933,155,3,0,2,2,3
934,155,4,1,1,1,2
935,155,5,1,1,1,1
936,156,0,0,3,3,6
937,156,1,0,3,3,5
938,156,2,0,1,3,4
939,156,3,1,2,3,3
940,156,4,1,1,2,2
941,156,5,1,1,1,1
942,157,0,0,3,3,6
943,157,1,0,3,3,5
944,157,2,1,3,3,4
945,157,3,1,2,2,3
946,157,4,1,1,2,2
947,157,5,1,1,1,1
948,158,0,0,3,3,6
949,158,1,0,3,3,5
950,158,2,0,1,3,4
951,158,3,1,2,3,3
952,158,4,1,1,2,2
953,158,5,1,1,1,1
954,159,0,0,3,3,6
955,159,1,0,3,3,5
956,159,2,0,1,3,4
957,159,3,1,2,3,3
958,159,4,1,2,2,2
959,159,5,1,1,1,1
960,160,0,0,3,3,6
961,160,1,0,3,3,5
962,160,2,1,3,3,4
963,160,3,1,2,2,3
964,160,4,1,2,2,2
965,160,5,1,1,1,1
966,161,0,0,3,3,6
967,161,1,0,3,3,5
968,161,2,0,3,3,4
969,161,3,0,2,2,3
970,161,4,1,1,2,2
971,161,5,1,1,1,1
972,162,0,0,3,3,6
973,162,1,0,3,3,5
974,162,2,0,1,3,4
975,162,3,0,2,2,3
976,162,4,1,1,2,2
977,162,5,1,1,1,1
978,163,0,0,3,3,6
979,163,1,0,3,3,5
980,163,2,0,4,2,4
981,163,3,1,2,2,3
982,163,4,1,1,2,2
983,163,5,1,1,1,1
984,164,0,0,3,3,6
985,164,1,0,3,3,5
986,164,2,1,3,3,4
987,164,3,1,2,3,3
988,164,4,1,2,2,2
